parent,child
CellobioseConsumptionimport,28116
Chondroitin4-sulfateChondroitin6-sulfateMacromoleculedegradation,28116
CO2Consumptionimportproductionexport,28116
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,28116
D-FructoseFructoseConsumptionimport,28116
D-GalactoseConsumptionimport,28116
D-GalacturonateConsumptionimport,28116
D-GlucosamineGlucosamineConsumptionimport,28116
D-GlucoseGlucoseConsumptionimport,28116
D-GlucuronicacidD-GlucuronateConsumptionimport,28116
D-MannoseMannoseConsumptionimport,28116
D-PsicoseConsumptionimport,28116
D-RiboseRiboseConsumptionimport,28116
D-XyloseXyloseConsumptionimport,28116
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,28116
DimethylamineProductionexport,28116
FOSFructooligosaccharideConsumptionimport,28116
H2HydrogenProductionexport,28116
HemicelluloseMacromoleculedegradation,28116
HyaluronanHyaluronateHyaluronicacidMacromoleculedegradation,28116
Isovalerate3-MethylbutanoicacidProductionexport,28116
L-FucoseConsumptionimport,28116
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,28116
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,28116
MenaquinoneVitaminK2Productionexport,28116
N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport,28116
N-AcetylgalactosamineN-Acetyl-D-galactosamineConsumptionimport,28116
NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport,28116
PectinMacromoleculedegradation,28116
PhenylethylamineProductionexport,28116
PropanoatePropionateProductionexport,28116
PutrescineProductionexport,28116
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,28116
SuccinateProductionexport,28116
TrehaloseConsumptionimport,28116
TyramineProductionexport,28116
AcetateProductionexport,46506
ButyrateProductionexport,46506
CO2Consumptionimportproductionexport,46506
D-FructoseFructoseConsumptionimport,46506
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,46506
FormateProductionexport,46506
H2HydrogenProductionexport,46506
NH3AmmoniaNH4AmmoniumConsumptionimport,46506
PropanoatePropionateProductionexport,46506
SuccinateProductionexport,46506
12-EthanediolEthyleneglycolProductionexport,818
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport,818
AcetateProductionexport,818
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,818
ArabinogalactanMacromoleculedegradation,818
ButylamineProductionexport,818
ButyrateProductionexport,818
CellobioseConsumptionimport,818
ChenodeoxycholicacidChenodeoxycholateConsumptionimport,818
CholicacidCholateConsumptionimport,818
Chondroitin4-sulfateChondroitin6-sulfateMacromoleculedegradation,818
CO2Consumptionimportproductionexport,818
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,818
D-FructoseFructoseConsumptionimport,818
D-GalactoseConsumptionimport,818
D-GalacturonateConsumptionimport,818
D-GlucosamineGlucosamineConsumptionimport,818
D-GlucoseGlucoseConsumptionimport,818
D-GlucuronicacidD-GlucuronateConsumptionimport,818
D-LyxoseL-LyxoseConsumptionimport,818
D-MannoseMannoseConsumptionimport,818
D-PsicoseConsumptionimport,818
D-RiboseRiboseConsumptionimport,818
D-XyloseXyloseConsumptionimport,818
DeoxycholicacidProductionexport,818
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,818
DimethylamineProductionexport,818
EthanolProductionexport,818
FormateProductionexport,818
FOSFructooligosaccharideConsumptionimport,818
FructanInulinLevanMacromoleculedegradation,818
GalactanMacromoleculedegradation,818
H2HydrogenProductionexport,818
HemicelluloseMacromoleculedegradation,818
HyaluronanHyaluronateHyaluronicacidMacromoleculedegradation,818
Isobutyrate2-MethylpropanoicacidProductionexport,818
Isovalerate3-MethylbutanoicacidProductionexport,818
L-CysteineCysteineD-CysteineConsumptionimport,818
L-FucoseConsumptionimport,818
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,818
L-LeucineLeucineConsumptionimport,818
L-MethionineD-MethionineConsumptionimport,818
L-PhenylalaninePhenylalanineD-PhenylalanineConsumptionimport,818
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,818
L-TyrosineTyrosineConsumptionimport,818
L-ValineValineD-ValineConsumptionimport,818
LithocholicacidProductionexport,818
MenaquinoneVitaminK2Productionexport,818
MethanolProductionexport,818
MucinMucusGlycoproteinMacromoleculedegradation,818
N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport,818
N-AcetylgalactosamineN-Acetyl-D-galactosamineConsumptionimport,818
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,818
NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport,818
PectinMacromoleculedegradation,818
PhenylacetateProductionexport,818
PhenylethylamineProductionexport,818
PolypeptideMacromoleculedegradation,818
PropanoatePropionateProductionexport,818
PutrescineProductionexport,818
PyruvateProductionexport,818
RaffinoseConsumptionimport,818
SpermidineProductionexport,818
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,818
SuccinateProductionexport,818
TrehaloseConsumptionimport,818
TrimethylamineProductionexport,818
TyramineProductionexport,818
UreaProductionexport,818
ValeratePentanoicacidPentanoateProductionexport,818
XOSXylooligosaccharideConsumptionimport,818
AcetateProductionexport,820
ButyrateProductionexport,820
CellobioseConsumptionimport,820
CO2Consumptionimportproductionexport,820
D-FructoseFructoseConsumptionimport,820
D-PsicoseConsumptionimport,820
FOSFructooligosaccharideConsumptionimport,820
H2HydrogenProductionexport,820
MucinMucusGlycoproteinMacromoleculedegradation,820
NH3AmmoniaNH4AmmoniumConsumptionimport,820
PropanoatePropionateProductionexport,820
SuccinateProductionexport,820
AcetateProductionexport,371601
ButyrateProductionexport,371601
CellobioseConsumptionimport,371601
CO2Consumptionimportproductionexport,371601
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,371601
D-FructoseFructoseConsumptionimport,371601
D-GalactoseConsumptionimport,371601
D-GlucoseGlucoseConsumptionimport,371601
D-MannitolMannitolConsumptionimport,371601
D-MannoseMannoseConsumptionimport,371601
D-PsicoseConsumptionimport,371601
D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport,371601
D-XyloseXyloseConsumptionimport,371601
GlycerolConsumptionimport,371601
H2HydrogenProductionexport,371601
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,371601
LactoseConsumptionimport,371601
MaltoseConsumptionimport,371601
MelibioseConsumptionimport,371601
NH3AmmoniaNH4AmmoniumConsumptionimport,371601
PropanoatePropionateProductionexport,371601
